title=静止五分钟采集的第十二次数据
time=2022-10-31 21:30
freq=100
note=相比第十一次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
24328,0.00,0.07,0.06,962,22,13444,-39,10,-32,29,4
24329,0.00,0.07,0.05,918,-30,13524,-40,9,-31,29,4
24330,0.00,0.07,0.05,946,26,13480,-40,10,-29,29,4
24331,0.00,0.07,0.05,912,62,13408,-39,9,-31,29,4
24332,0.00,0.07,0.05,950,42,13504,-40,10,-31,29,4
24333,0.00,0.07,0.05,882,18,13402,-40,10,-31,29,4
24334,0.00,0.07,0.05,910,14,13440,-39,10,-30,29,4
24335,0.00,0.07,0.05,902,76,13510,-38,10,-30,29,4
24336,0.00,0.07,0.05,972,30,13444,-40,10,-31,29,4
24337,-0.00,0.07,0.05,950,-16,13518,-39,10,-31,29,4
24338,-0.00,0.07,0.05,908,36,13488,-39,11,-29,29,4
24339,-0.00,0.07,0.05,900,30,13538,-40,9,-30,29,4
24340,-0.00,0.07,0.05,888,12,13408,-38,10,-31,29,4
24341,-0.00,0.07,0.05,930,20,13488,-40,9,-31,29,4
24342,-0.00,0.07,0.05,906,28,13418,-39,10,-30,29,4
24343,-0.00,0.07,0.05,980,24,13396,-40,10,-31,29,4
24344,-0.00,0.07,0.05,906,-2,13470,-38,9,-30,29,4
24345,-0.00,0.07,0.05,920,4,13442,-38,10,-29,29,4
24346,-0.00,0.07,0.05,916,16,13438,-39,9,-29,29,4
24347,-0.00,0.07,0.05,908,28,13534,-40,10,-29,29,4
24348,-0.00,0.07,0.05,906,46,13422,-39,10,-29,29,4
24349,-0.00,0.07,0.05,958,52,13436,-39,10,-29,29,4
24350,-0.00,0.07,0.05,924,62,13452,-39,9,-30,29,4
24351,-0.01,0.07,0.06,878,48,13550,-39,12,-29,29,4
24352,-0.00,0.08,0.06,964,22,13528,-39,10,-30,29,4
24353,-0.01,0.07,0.06,890,4,13458,-40,9,-29,29,4
24354,-0.01,0.07,0.06,932,18,13568,-39,10,-30,29,4
24355,-0.01,0.07,0.06,908,64,13494,-39,11,-30,29,4
24356,-0.00,0.07,0.06,954,96,13490,-39,9,-30,29,4
24357,-0.00,0.08,0.06,942,16,13444,-40,8,-29,29,4
